Year,Month,Monthly anomalies,Monthly uncertainties,Annual anomalies,Annual uncertainties,Five-year  anomalies,Five-year  uncertainties,Ten-year anomalies,Ten-year uncertainties,Twenty-year anomalies,Twenty-year uncertainties
,,,,,,,,,,,
1750,1,-0.478,2.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,-1.021,3.388,-0.999,0.942,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,0.22,2.76,-1.014,0.968,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,-0.251,1.968,-1.04,0.98,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-1.749,1.281,-1.353,0.992,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,-1.246,1.717,-1.338,1.011,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,-0.389,2.652,-1.419,0.999,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.002,1.846,-1.571,0.996,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,-1.195,1.744,-1.577,0.968,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-2.333,1.65,-1.678,0.937,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-4.594,1.962,-1.629,0.924,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-3.004,2.219,-1.661,0.929,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-1.453,3.026,-1.567,0.928,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-2.852,3.062,-1.605,0.937,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,0.157,2.151,-1.63,0.925,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-1.47,1.709,-1.66,0.936,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,-1.153,1.344,-1.534,0.938,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-1.635,1.691,-1.444,0.938,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,0.741,1.535,-1.584,0.963,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,-0.454,1.798,-1.171,0.96,NaN,NaN,NaN,NaN,NaN,NaN
