Year,Month,Monthly anomalies,Monthly uncertainties,Annual anomalies,Annual uncertainties,Five-year  anomalies,Five-year  uncertainties,Ten-year anomalies,Ten-year uncertainties,Twenty-year anomalies,Twenty-year uncertainties
1842,9,-1.456,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1842,10,-1.113,1.379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1842,11,-1.067,1.712,-0.762,0.684,NaN,NaN,NaN,NaN,NaN,NaN
1842,12,-0.018,1.666,-0.752,0.653,NaN,NaN,NaN,NaN,NaN,NaN
1843,1,0.117,1.634,-0.737,0.636,NaN,NaN,NaN,NaN,NaN,NaN
1843,2,0.307,1.755,-0.719,0.631,NaN,NaN,NaN,NaN,NaN,NaN
1843,3,-1.236,1.72,-0.697,0.639,NaN,NaN,NaN,NaN,NaN,NaN
1843,4,-0.89,1.407,-0.674,0.655,NaN,NaN,NaN,NaN,NaN,NaN
1843,5,-1.129,1.802,-0.713,0.655,NaN,NaN,NaN,NaN,NaN,NaN
1843,6,-1.294,1.616,-0.792,0.631,NaN,NaN,NaN,NaN,NaN,NaN
1843,7,-0.22,1.423,-0.866,0.637,NaN,NaN,NaN,NaN,NaN,NaN
1843,8,-0.634,1.421,-1.07,0.636,NaN,NaN,NaN,NaN,NaN,NaN
1843,9,-1.185,1.602,-1.068,0.616,NaN,NaN,NaN,NaN,NaN,NaN
1843,10,-0.845,1.517,-1.104,0.623,NaN,NaN,NaN,NaN,NaN,NaN
1843,11,-1.527,1.646,-1.128,0.615,NaN,NaN,NaN,NaN,NaN,NaN
1843,12,-0.972,2.326,-1.127,0.608,NaN,NaN,NaN,NaN,NaN,NaN
1844,1,-0.769,1.769,-1.16,0.619,NaN,NaN,NaN,NaN,NaN,NaN
1844,2,-2.141,1.772,-1.171,0.613,NaN,NaN,NaN,NaN,NaN,NaN
1844,3,-1.207,1.504,-1.198,0.611,NaN,NaN,NaN,NaN,NaN,NaN
1844,4,-1.329,1.448,-1.194,0.628,NaN,NaN,NaN,NaN,NaN,NaN
1844,5,-1.41,1.51,-1.179,0.592,NaN,NaN,NaN,NaN,NaN,NaN
1844,6,-1.284,1.437,-1.199,0.596,NaN,NaN,NaN,NaN,NaN,NaN
1844,7,-0.618,1.397,-1.149,0.599,NaN,NaN,NaN,NaN,NaN,NaN
1844,8,-0.77,1.555,-1.126,0.647,NaN,NaN,NaN,NaN,NaN,NaN
1844,9,-1.505,1.559,-1.103,0.657,NaN,NaN,NaN,NaN,NaN,NaN
1844,10,-0.801,1.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,11,-1.34,1.523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,12,-1.214,1.911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
