Year,Month,Monthly anomalies,Monthly uncertainties,Annual anomalies,Annual uncertainties,Five-year  anomalies,Five-year  uncertainties,Ten-year anomalies,Ten-year uncertainties,Twenty-year anomalies,Twenty-year uncertainties
,,,,,,,,,,,
1796,1,0.959,2.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1796,2,0.251,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1796,3,-1.963,2.318,-0.267,1.471,NaN,NaN,NaN,NaN,NaN,NaN
1796,4,-0.793,2.168,-0.199,1.592,NaN,NaN,NaN,NaN,NaN,NaN
1796,5,-0.098,1.673,-0.238,1.588,NaN,NaN,NaN,NaN,NaN,NaN
1796,6,-0.066,3.347,-0.431,1.405,NaN,NaN,NaN,NaN,NaN,NaN
1796,7,-0.165,2.433,-0.311,1.381,NaN,NaN,NaN,NaN,NaN,NaN
1796,8,0.285,3.286,-0.091,1.25,NaN,NaN,NaN,NaN,NaN,NaN
1796,9,-0.266,2.722,0,1.274,NaN,NaN,NaN,NaN,NaN,NaN
1796,10,-0.376,1.65,-0.036,1.232,NaN,NaN,NaN,NaN,NaN,NaN
1796,11,-0.849,2.457,-0.081,1.272,NaN,NaN,NaN,NaN,NaN,NaN
1796,12,-2.094,2.754,-0.06,1.207,NaN,NaN,NaN,NaN,NaN,NaN
1797,1,NaN,NaN,-0.073,1.085,NaN,NaN,NaN,NaN,NaN,NaN
1797,2,NaN,NaN,-0.077,1.095,NaN,NaN,NaN,NaN,NaN,NaN
1797,3,-0.871,3.368,-0.072,1.24,NaN,NaN,NaN,NaN,NaN,NaN
1797,4,-1.225,3.306,-0.095,1.305,NaN,NaN,NaN,NaN,NaN,NaN
1797,5,-0.643,2.43,-0.125,1.34,NaN,NaN,NaN,NaN,NaN,NaN
1797,6,0.193,2.335,0.03,1.422,NaN,NaN,NaN,NaN,NaN,NaN
1797,7,-0.325,2.044,-0.143,1.605,NaN,NaN,NaN,NaN,NaN,NaN
1797,8,0.244,2.222,-0.369,1.537,-0.239,0.705,NaN,NaN,NaN,NaN
1797,9,-0.208,2.648,-0.244,1.372,-0.266,0.684,NaN,NaN,NaN,NaN
1797,10,-0.653,1.861,-0.186,1.22,-0.275,0.658,NaN,NaN,NaN,NaN
1797,11,-1.216,1.728,-0.166,1.205,-0.299,0.645,NaN,NaN,NaN,NaN
1797,12,-0.228,2.322,-0.222,1.132,-0.29,0.659,NaN,NaN,NaN,NaN
1798,1,0.328,2.357,-0.13,1.134,-0.311,0.643,NaN,NaN,NaN,NaN
1798,2,0.177,2.45,-0.09,1.226,-0.315,0.628,NaN,NaN,NaN,NaN
1798,3,0.629,1.962,-0.126,1.131,-0.307,0.629,NaN,NaN,NaN,NaN
1798,4,NaN,NaN,-0.121,1.061,-0.29,0.642,NaN,NaN,NaN,NaN
1798,5,NaN,NaN,-0.037,0.878,-0.286,0.624,NaN,NaN,NaN,NaN
1798,6,-0.482,2.207,-0.109,0.766,-0.295,0.604,NaN,NaN,NaN,NaN
1798,7,0.774,1.829,-0.151,0.73,-0.296,0.593,NaN,NaN,NaN,NaN
1798,8,0.728,3.25,-0.323,0.719,-0.296,0.567,NaN,NaN,NaN,NaN
1798,9,-0.645,1.934,-0.522,0.724,-0.245,0.578,NaN,NaN,NaN,NaN
1798,10,-0.583,2.004,-0.495,0.67,-0.246,0.564,NaN,NaN,NaN,NaN
1798,11,-0.217,2.922,-0.466,0.675,-0.229,0.574,NaN,NaN,NaN,NaN
1798,12,-1.085,2.366,-0.451,0.716,-0.243,0.543,NaN,NaN,NaN,NaN
1799,1,-0.185,1.898,-0.521,0.763,-0.238,0.511,-0.129,0.454,NaN,NaN
1799,2,-1.884,2.25,-0.597,0.895,-0.254,0.48,-0.133,0.43,NaN,NaN
1799,3,-1.761,2.208,-0.575,0.937,-0.256,0.473,-0.147,0.415,NaN,NaN
1799,4,-0.193,2.458,-0.53,0.959,-0.239,0.472,-0.141,0.416,NaN,NaN
1799,5,-0.063,1.754,-0.473,0.86,-0.233,0.471,-0.146,0.42,NaN,NaN
1799,6,-0.299,2.313,-0.502,0.844,-0.184,0.462,-0.134,0.421,NaN,NaN
1799,7,-0.067,2.004,-0.519,0.792,-0.201,0.479,-0.11,0.423,NaN,NaN
1799,8,-0.184,1.411,-0.417,0.864,-0.23,0.473,-0.105,0.43,NaN,NaN
1799,9,-0.374,1.923,-0.354,0.778,-0.197,0.457,-0.107,0.44,NaN,NaN
1799,10,-0.045,1.545,-0.299,0.815,-0.172,0.45,-0.109,0.434,NaN,NaN
1799,11,NaN,NaN,-0.363,0.843,-0.179,0.421,-0.101,0.415,NaN,NaN
1799,12,-1.437,1.963,-0.39,0.779,-0.185,0.406,-0.105,0.406,NaN,NaN
1800,1,-0.387,1.759,-0.427,0.746,-0.173,0.405,-0.109,0.402,NaN,NaN
1800,2,-0.658,3.016,-0.437,0.77,-0.184,0.398,-0.126,0.4,NaN,NaN
1800,3,-1.012,2.197,-0.497,0.754,-0.173,0.387,-0.129,0.395,NaN,NaN
1800,4,0.473,1.79,-0.505,0.789,-0.165,0.396,-0.143,0.381,NaN,NaN
1800,5,-0.828,1.786,-0.558,0.825,-0.16,0.389,-0.148,0.377,NaN,NaN
1800,6,-0.624,1.887,-0.465,0.76,-0.167,0.383,-0.136,0.377,NaN,NaN
1800,7,-0.518,1.683,-0.356,0.719,-0.189,0.385,-0.142,0.373,NaN,NaN
1800,8,-0.302,1.53,-0.282,0.743,-0.207,0.364,-0.135,0.372,NaN,NaN
1800,9,-1.085,1.499,-0.102,0.82,-0.224,0.364,-0.125,0.382,NaN,NaN
1800,10,-0.143,1.741,-0.217,0.847,-0.209,0.36,-0.129,0.378,NaN,NaN
1800,11,-0.171,2.467,-0.068,0.851,-0.2,0.354,-0.137,0.366,NaN,NaN
1800,12,-0.325,1.853,-0.092,0.881,-0.195,0.348,-0.133,0.355,NaN,NaN
1801,1,0.923,2.174,-0.036,0.813,-0.199,0.348,-0.139,0.353,NaN,NaN
1801,2,0.227,2.617,-0.066,0.746,-0.197,0.35,-0.146,0.351,NaN,NaN
1801,3,1.153,1.989,-0.012,0.723,-0.18,0.346,-0.138,0.356,NaN,NaN
1801,4,NaN,NaN,0.057,0.803,-0.163,0.338,-0.135,0.344,NaN,NaN
1801,5,NaN,NaN,0.03,0.73,-0.164,0.35,-0.135,0.341,NaN,NaN
1801,6,-0.904,2.378,0.124,0.721,-0.155,0.359,-0.149,0.336,NaN,NaN
1801,7,0.155,1.97,0.167,0.756,-0.15,0.391,-0.15,0.331,NaN,NaN
1801,8,-0.67,1.792,0.242,0.796,-0.13,0.4,-0.148,0.331,NaN,NaN
1801,9,-0.434,1.394,0.237,0.829,-0.118,0.393,-0.142,0.341,NaN,NaN
1801,10,0.688,2.881,0.338,0.925,-0.097,0.409,-0.145,0.344,NaN,NaN
1801,11,-0.497,1.71,0.169,0.933,-0.086,0.411,-0.144,0.347,NaN,NaN
1801,12,0.806,2.158,0.231,0.794,-0.084,0.422,-0.125,0.351,NaN,NaN
1802,1,1.441,2.486,0.25,0.787,-0.055,0.418,-0.156,0.365,NaN,NaN
1802,2,1.123,3.146,0.273,0.78,-0.049,0.427,-0.185,0.363,NaN,NaN
1802,3,1.088,2.45,0.344,0.778,-0.039,0.431,-0.185,0.355,NaN,NaN
1802,4,0.312,2.548,0.274,0.752,-0.044,0.425,-0.188,0.353,NaN,NaN
1802,5,-1.08,2.741,0.238,0.71,-0.039,0.405,-0.202,0.348,NaN,NaN
1802,6,-0.154,2.638,0.116,0.744,-0.029,0.381,-0.207,0.344,NaN,NaN
1802,7,0.381,2.05,-0.087,0.739,-0.016,0.38,-0.201,0.335,NaN,NaN
1802,8,-0.392,2.042,-0.254,0.778,-0.012,0.372,-0.207,0.331,NaN,NaN
1802,9,0.411,1.474,-0.378,0.758,0.008,0.373,-0.203,0.319,NaN,NaN
1802,10,-0.147,2.233,-0.374,0.772,-0.01,0.364,-0.204,0.318,NaN,NaN
1802,11,-0.931,2.175,-0.272,0.782,0.004,0.363,-0.195,0.317,NaN,NaN
1802,12,-0.662,1.624,-0.274,0.726,0.017,0.355,-0.187,0.315,NaN,NaN
1803,1,-0.992,2.228,-0.263,0.712,0.028,0.351,-0.203,0.321,NaN,NaN
1803,2,-0.887,2.85,-0.158,0.709,0.046,0.349,-0.214,0.318,NaN,NaN
1803,3,-0.395,2.888,-0.16,0.721,0.058,0.355,-0.23,0.317,NaN,NaN
1803,4,0.363,1.771,-0.11,0.655,0.031,0.348,-0.236,0.318,NaN,NaN
1803,5,0.14,2.184,-0.058,0.674,0.013,0.344,-0.251,0.318,NaN,NaN
1803,6,-0.177,1.854,-0.049,0.742,0.029,0.35,-0.253,0.322,NaN,NaN
1803,7,0.515,1.963,0.047,0.795,0.018,0.362,-0.257,0.324,NaN,NaN
1803,8,0.866,1.911,0.062,0.877,0.004,0.376,-0.271,0.32,NaN,NaN
1803,9,0.383,1.532,0.01,0.853,-0.031,0.379,-0.269,0.325,NaN,NaN
1803,10,0.452,2.586,0.066,0.877,-0.024,0.376,-0.271,0.328,NaN,NaN
1803,11,-0.306,1.939,0.102,0.84,-0.041,0.375,-0.284,0.331,NaN,NaN
1803,12,-0.554,2.008,0.105,0.87,-0.056,0.38,-0.293,0.334,NaN,NaN
1804,1,0.165,4.01,0.203,0.805,-0.061,0.375,-0.31,0.334,NaN,NaN
1804,2,-0.705,2.4,0.145,0.81,-0.043,0.37,-0.315,0.341,NaN,NaN
