Year,Month,Monthly anomalies,Monthly uncertainties,Annual anomalies,Annual uncertainties,Five-year  anomalies,Five-year  uncertainties,Ten-year anomalies,Ten-year uncertainties,Twenty-year anomalies,Twenty-year uncertainties
,,,,,,,,,,,
1796,1,1.04,2.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1796,2,0.231,2.839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1796,3,-2.062,2.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1796,4,-0.784,2.292,-0.168,1.564,NaN,NaN,NaN,NaN,NaN,NaN
1796,5,0.052,1.885,-0.206,1.553,NaN,NaN,NaN,NaN,NaN,NaN
1796,6,0.022,3.157,-0.405,1.387,NaN,NaN,NaN,NaN,NaN,NaN
1796,7,-0.186,2.42,-0.291,1.378,NaN,NaN,NaN,NaN,NaN,NaN
1796,8,0.463,3.219,-0.075,1.258,NaN,NaN,NaN,NaN,NaN,NaN
1796,9,-0.355,2.743,0.018,1.28,NaN,NaN,NaN,NaN,NaN,NaN
1796,10,-0.291,1.767,-0.022,1.247,NaN,NaN,NaN,NaN,NaN,NaN
1796,11,-0.743,2.433,-0.074,1.294,NaN,NaN,NaN,NaN,NaN,NaN
1796,12,-2.241,2.765,-0.066,1.251,NaN,NaN,NaN,NaN,NaN,NaN
1797,1,NaN,NaN,-0.088,1.146,NaN,NaN,NaN,NaN,NaN,NaN
1797,2,NaN,NaN,-0.106,1.17,NaN,NaN,NaN,NaN,NaN,NaN
1797,3,-0.95,3.448,-0.103,1.306,NaN,NaN,NaN,NaN,NaN,NaN
1797,4,-1.265,3.357,-0.127,1.367,NaN,NaN,NaN,NaN,NaN,NaN
1797,5,-0.57,2.594,-0.165,1.402,NaN,NaN,NaN,NaN,NaN,NaN
1797,6,0.122,2.343,-0.002,1.475,NaN,NaN,NaN,NaN,NaN,NaN
1797,7,-0.457,2.111,-0.17,1.643,NaN,NaN,NaN,NaN,NaN,NaN
1797,8,0.249,2.433,-0.4,1.576,NaN,NaN,NaN,NaN,NaN,NaN
1797,9,-0.314,2.724,-0.264,1.404,NaN,NaN,NaN,NaN,NaN,NaN
1797,10,-0.588,1.947,-0.202,1.254,NaN,NaN,NaN,NaN,NaN,NaN
1797,11,-1.189,1.824,-0.176,1.235,-0.31,0.668,NaN,NaN,NaN,NaN
1797,12,-0.29,2.361,-0.235,1.163,-0.3,0.682,NaN,NaN,NaN,NaN
1798,1,0.379,2.318,-0.141,1.165,-0.32,0.665,NaN,NaN,NaN,NaN
1798,2,0.078,2.508,-0.09,1.239,-0.325,0.65,NaN,NaN,NaN,NaN
1798,3,0.672,2.158,-0.131,1.153,-0.317,0.652,NaN,NaN,NaN,NaN
1798,4,NaN,NaN,-0.131,1.09,-0.299,0.664,NaN,NaN,NaN,NaN
1798,5,NaN,NaN,-0.04,0.928,-0.296,0.646,NaN,NaN,NaN,NaN
1798,6,-0.584,2.153,-0.118,0.832,-0.304,0.625,NaN,NaN,NaN,NaN
1798,7,0.675,1.933,-0.164,0.799,-0.306,0.616,NaN,NaN,NaN,NaN
1798,8,0.861,3.225,-0.338,0.785,-0.306,0.591,NaN,NaN,NaN,NaN
1798,9,-0.807,2.02,-0.553,0.784,-0.253,0.599,NaN,NaN,NaN,NaN
1798,10,-0.587,2.067,-0.522,0.743,-0.255,0.586,NaN,NaN,NaN,NaN
1798,11,-0.096,2.898,-0.495,0.747,-0.237,0.595,NaN,NaN,NaN,NaN
1798,12,-1.226,2.363,-0.475,0.786,-0.253,0.568,NaN,NaN,NaN,NaN
1799,1,-0.169,1.921,-0.537,0.826,-0.248,0.538,NaN,NaN,NaN,NaN
1799,2,-2.021,2.271,-0.621,0.935,-0.268,0.511,NaN,NaN,NaN,NaN
1799,3,-1.9,2.396,-0.592,0.977,-0.271,0.504,NaN,NaN,NaN,NaN
1799,4,-0.143,2.525,-0.543,1,-0.252,0.503,NaN,NaN,NaN,NaN
1799,5,0.062,1.952,-0.49,0.918,-0.246,0.501,NaN,NaN,NaN,NaN
1799,6,-0.348,2.288,-0.522,0.909,-0.196,0.491,NaN,NaN,NaN,NaN
1799,7,-0.074,2.041,-0.543,0.866,-0.211,0.504,-0.121,0.445,NaN,NaN
